time,x,y,theta
1890.205,1.930734829347358e-06,-1.1359101592667287e-07,-0.00020001788871804038
1890.21,1.9304272538267497e-06,-1.131858213820891e-07,-0.00020001766762911544
1890.214,-2.5646151868841116e-13,5.5289106626332796e-14,-5.257287405413535e-07
1890.218,-2.5646151868841116e-13,5.5289106626332796e-14,-5.257325197405294e-07
1890.225,-2.5646151868841116e-13,5.5289106626332796e-14,-5.257362993837944e-07
1890.23,-2.5646151868841116e-13,5.5289106626332796e-14,-5.257400785829702e-07
1890.234,-2.5646151868841116e-13,5.5067062021407764e-14,-5.257438582262353e-07
1890.237,1.9288837791453517e-06,-1.1116170317571061e-07,-0.00020001655227996906
1890.24,-2.5646151868841116e-13,5.5067062021407764e-14,-5.257514170686761e-07
1890.244,-2.5712765250318625e-13,5.218048215738236e-14,-5.257551962678519e-07
1890.248,1.9093863943275835e-06,-8.711613586065425e-08,-0.00019999962261563198
1890.252,-2.5712765250318625e-13,5.1958437552457326e-14,-5.25762755554382e-07
1890.257,-2.5712765250318625e-13,5.1958437552457326e-14,-5.25766535197647e-07
1890.261,-2.5712765250318625e-13,5.1958437552457326e-14,-5.257703143968229e-07
1890.264,1.9083735718350425e-06,-8.5926982862361e-08,-0.00019999867106523794
1890.269,1.9080351461031597e-06,-8.553088548524101e-08,-0.00019999834968587038
1890.273,-2.5712765250318625e-13,5.1736392947532295e-14,-5.25781653326618e-07
1890.277,-2.5712765250318625e-13,5.1736392947532295e-14,-5.257854334139722e-07
1890.28,1.90735706051548e-06,-8.4739112837795e-08,-0.00019999770668333028
1890.284,-2.5712765250318625e-13,5.1736392947532295e-14,-5.257929927005023e-07
1890.287,-2.5712765250318625e-13,5.1736392947532295e-14,-5.257967723437673e-07
1890.291,1.90667744348616e-06,-8.394826744861916e-08,-0.00019999705631512654
1890.295,-2.573496971081113e-13,5.1736392947532295e-14,-5.258043316302974e-07
1890.299,-2.5779378631796135e-13,4.929390229335695e-14,-5.258081117176516e-07
1890.302,1.8894563125204655e-06,-6.62378467630731e-08,-0.0001999722800065662
1890.306,-2.5779378631796135e-13,4.929390229335695e-14,-5.258156710041817e-07
1890.309,-2.5779378631796135e-13,4.929390229335695e-14,-5.258194510915359e-07
1890.314,-2.5779378631796135e-13,4.929390229335695e-14,-5.25823230734801e-07
1890.318,1.8882250187868266e-06,-6.506991434562792e-08,-0.00019997023058060392
1890.322,-2.5779378631796135e-13,4.907185768843192e-14,-5.258307904654203e-07
1890.327,-2.5779378631796135e-13,4.907185768843192e-14,-5.258345705527745e-07
1890.331,-2.5779378631796135e-13,4.907185768843192e-14,-5.258383506401287e-07
1890.335,-2.5779378631796135e-13,4.907185768843192e-14,-5.258421302833938e-07
1890.338,1.88658732147573e-06,-6.35156696127126e-08,-0.00019996754476991896
1890.341,-2.5779378631796135e-13,4.884981308350689e-14,-5.258496904581023e-07
1890.346,-2.5779378631796135e-13,4.884981308350689e-14,-5.258534705454565e-07
1890.352,-2.582378755278114e-13,4.6629367034256575e-14,-5.258572501887215e-07
1890.355,-2.582378755278114e-13,4.6629367034256575e-14,-5.258610302760758e-07
1890.358,1.866446581288983e-06,-4.511553597374984e-08,-0.0001999329688375795
1890.362,-2.582378755278114e-13,4.6407322429331543e-14,-5.258685904507843e-07
1890.367,-2.582378755278114e-13,4.6407322429331543e-14,-5.258723709822277e-07
1890.371,-2.582378755278114e-13,4.6407322429331543e-14,-5.258761506254928e-07
1890.374,1.8651365123467656e-06,-4.398044728404216e-08,-0.00019993054710853997
1890.378,-2.582378755278114e-13,4.6407322429331543e-14,-5.258837112442905e-07
1890.382,-2.582378755278114e-13,4.618527782440651e-14,-5.258874913316447e-07
1890.386,-2.582378755278114e-13,4.618527782440651e-14,-5.258912718630881e-07
1890.39,-2.582378755278114e-13,4.618527782440651e-14,-5.258950519504424e-07
1890.394,-2.582378755278114e-13,4.618527782440651e-14,-5.258988320377966e-07
1890.397,1.8633824636626883e-06,-4.247006546442833e-08,-0.00019992727739381877
1890.402,7.969485400982634e-05,-1.4721624008728895e-06,-0.008573906696592193
1890.407,1.8429721038160096e-06,-2.6066310665484593e-08,-0.00019988440763007986
1890.41,1.8424702350472444e-06,-2.569861279333452e-08,-0.00019988320589137132
1890.414,-2.5868196473766147e-13,4.374278717023117e-14,-5.259177338068355e-07
1890.419,-2.5868196473766147e-13,4.374278717023117e-14,-5.259215138941897e-07
1890.423,-2.5868196473766147e-13,4.374278717023117e-14,-5.259252944256332e-07
1890.427,-2.5868196473766147e-13,4.374278717023117e-14,-5.259290749570766e-07
1890.431,-2.5868196473766147e-13,4.374278717023117e-14,-5.259328554885201e-07
